price,city,kms_driven,owner,age,power,brand
28000.0,Jaipur,45000.0,First Owner,2.0,110.0,Mahindra
47000.0,Jaipur,70000.0,First Owner,6.0,150.0,Suzuki
123600.0,Jaipur,7702.0,First Owner,3.0,350.0,Royal Enfield
435000.0,Jaipur,5550.0,Second Owner,7.0,883.0,Harley-Davidson
55000.0,Jaipur,2000.0,First Owner,9.0,150.0,Honda
1260000.0,Jaipur,17000.0,First Owner,4.0,1300.0,Suzuki
21000.0,Jaipur,50000.0,First Owner,10.0,150.0,Hero
100000.0,Jaipur,11760.0,First Owner,4.0,200.0,Bajaj
115000.0,Jaipur,25000.0,First Owner,6.0,350.0,Royal Enfield
147000.0,Jaipur,15000.0,First Owner,6.0,390.0,KTM
37000.0,Jaipur,18110.0,First Owner,6.0,125.0,Honda
105000.0,Jaipur,10468.0,First Owner,2.0,250.0,Yamaha
30500.0,Jaipur,22422.0,First Owner,9.0,125.0,Honda
30000.0,Jaipur,61743.0,First Owner,8.0,110.0,Honda
38000.0,Jaipur,22200.0,First Owner,5.0,150.0,Bajaj
42000.0,Jaipur,32567.0,First Owner,5.0,100.0,Hero
98000.0,Jaipur,749.0,First Owner,1.0,160.0,TVS
35000.0,Jaipur,37000.0,First Owner,6.0,110.0,Hero
40000.0,Jaipur,34000.0,First Owner,11.0,150.0,Yamaha
17500.0,Jaipur,21037.0,First Owner,11.0,100.0,Bajaj
63000.0,Jaipur,1639.0,First Owner,4.0,160.0,TVS
25000.0,Jaipur,34500.0,First Owner,8.0,100.0,Bajaj
35000.0,Jaipur,19980.0,First Owner,7.0,100.0,Hero
105000.0,Jaipur,6000.0,First Owner,3.0,300.0,Mahindra
47000.0,Jaipur,18227.0,First Owner,6.0,150.0,Yamaha
31500.0,Jaipur,22845.0,First Owner,8.0,100.0,Hero
90000.0,Jaipur,11760.0,First Owner,4.0,200.0,Bajaj
185000.0,Jaipur,2845.0,First Owner,3.0,310.0,TVS
43500.0,Jaipur,18346.0,First Owner,2.0,110.0,Bajaj
82800.0,Jaipur,6500.0,First Owner,3.0,150.0,Yamaha
19542.0,Jaipur,56592.0,First Owner,9.0,160.0,TVS
39000.0,Jaipur,20700.0,First Owner,5.0,100.0,Hero
33000.0,Jaipur,22518.0,First Owner,5.0,100.0,Hero
35000.0,Jaipur,23430.0,First Owner,7.0,100.0,Hero
34000.0,Jaipur,39000.0,First Owner,9.0,150.0,Yamaha
445600.0,Jaipur,1500.0,First Owner,5.0,750.0,Harley-Davidson
34000.0,Jaipur,21775.0,First Owner,6.0,100.0,Hero
25500.0,Jaipur,22793.0,First Owner,6.0,125.0,Bajaj
31000.0,Jaipur,31282.0,First Owner,6.0,110.0,Honda
45000.0,Jaipur,15091.0,Second Owner,7.0,220.0,Bajaj
14000.0,Jaipur,70756.0,First Owner,13.0,100.0,Hero
25000.0,Jaipur,45000.0,First Owner,10.0,150.0,Bajaj
90000.0,Jaipur,8740.0,First Owner,6.0,150.0,Honda
35000.0,Jaipur,19000.0,First Owner,8.0,150.0,Bajaj
19500.0,Jaipur,10000.0,First Owner,14.0,100.0,Hero
15000.0,Jaipur,48000.0,First Owner,17.0,100.0,Bajaj
35000.0,Jaipur,10181.0,First Owner,4.0,100.0,Bajaj
120000.0,Jaipur,14290.0,First Owner,5.0,410.0,Royal Enfield
32000.0,Jaipur,19510.0,First Owner,9.0,135.0,Bajaj
24000.0,Jaipur,18300.0,First Owner,9.0,110.0,Hero
23000.0,Jaipur,22310.0,First Owner,11.0,125.0,Honda
89000.0,Jaipur,10000.0,First Owner,3.0,220.0,Bajaj
120000.0,Jaipur,21000.0,First Owner,4.0,350.0,Royal Enfield
36000.0,Jaipur,24990.0,First Owner,4.0,100.0,Hero
37000.0,Jaipur,22057.0,First Owner,5.0,125.0,Honda
24000.0,Jaipur,20100.0,First Owner,10.0,100.0,Hero
30000.0,Jaipur,27000.0,First Owner,6.0,110.0,TVS
15000.0,Jaipur,52391.0,First Owner,15.0,125.0,Hero
42000.0,Jaipur,8094.0,First Owner,6.0,150.0,Bajaj
37900.0,Jaipur,26500.0,First Owner,6.0,125.0,Honda
25000.0,Jaipur,25000.0,First Owner,9.0,100.0,Bajaj
42000.0,Jaipur,28100.0,First Owner,8.0,150.0,Bajaj
52000.0,Jaipur,19400.0,First Owner,7.0,220.0,Bajaj
35000.0,Jaipur,22230.0,First Owner,6.0,100.0,Hero
32000.0,Jaipur,26090.0,First Owner,7.0,110.0,Hero
48000.0,Jaipur,43003.0,First Owner,9.0,220.0,Bajaj
345000.0,Jaipur,10619.0,First Owner,6.0,750.0,Harley-Davidson
382000.0,Jaipur,10000.0,First Owner,7.0,750.0,Harley-Davidson
47000.0,Jaipur,18415.0,First Owner,8.0,150.0,Yamaha
31000.0,Jaipur,23019.0,First Owner,4.0,100.0,Bajaj
37000.0,Jaipur,23691.0,First Owner,6.0,125.0,Honda
61700.0,Jaipur,21000.0,First Owner,4.0,220.0,Bajaj
32000.0,Jaipur,25430.0,First Owner,7.0,100.0,Hero
51000.0,Jaipur,18314.0,First Owner,7.0,160.0,TVS
47000.0,Jaipur,26000.0,First Owner,8.0,160.0,TVS
35000.0,Jaipur,19374.0,First Owner,4.0,100.0,Bajaj
34000.0,Jaipur,18000.0,First Owner,8.0,150.0,Bajaj
26500.0,Jaipur,2342.0,First Owner,9.0,110.0,TVS
26000.0,Jaipur,24000.0,First Owner,7.0,110.0,TVS
38000.0,Jaipur,18945.0,First Owner,6.0,100.0,Hero
45000.0,Jaipur,36344.0,First Owner,5.0,100.0,Hero
70000.0,Jaipur,28112.0,First Owner,4.0,150.0,Suzuki
52000.0,Jaipur,12322.0,First Owner,2.0,110.0,Honda
21000.0,Jaipur,18330.0,First Owner,10.0,135.0,Bajaj
50000.0,Jaipur,18235.0,First Owner,5.0,220.0,Bajaj
31500.0,Jaipur,18652.0,First Owner,8.0,110.0,Hero
30500.0,Jaipur,22598.0,First Owner,8.0,100.0,Hero
26000.0,Jaipur,13000.0,First Owner,10.0,100.0,Hero
26500.0,Jaipur,20385.0,First Owner,10.0,100.0,Hero
23000.0,Jaipur,21332.0,First Owner,10.0,100.0,Hero
145000.0,Jaipur,19000.0,First Owner,5.0,250.0,Benelli
60000.0,Jaipur,17962.0,First Owner,5.0,220.0,Bajaj
40000.0,Jaipur,20000.0,First Owner,4.0,100.0,Hero
28000.0,Jaipur,24990.0,First Owner,8.0,125.0,Honda
55000.0,Jaipur,17000.0,First Owner,4.0,100.0,Hero
28000.0,Jaipur,20555.0,First Owner,10.0,150.0,Yamaha
33000.0,Jaipur,18677.0,First Owner,6.0,100.0,TVS
58000.0,Jaipur,20000.0,First Owner,5.0,223.0,Hero
30000.0,Jaipur,18516.0,First Owner,8.0,110.0,Honda
15244.0,Jaipur,40320.0,First Owner,15.0,125.0,Hero
53000.0,Jaipur,18200.0,First Owner,5.0,220.0,Bajaj
32000.0,Jaipur,25000.0,First Owner,5.0,110.0,Honda
79000.0,Jaipur,18000.0,First Owner,5.0,200.0,Bajaj
34000.0,Jaipur,22011.0,First Owner,7.0,100.0,Hero
25500.0,Jaipur,19000.0,First Owner,10.0,100.0,Hero
43000.0,Jaipur,21000.0,First Owner,4.0,110.0,Hero
43000.0,Jaipur,55000.0,First Owner,4.0,110.0,Hero
33000.0,Jaipur,23873.0,First Owner,7.0,100.0,Hero
23000.0,Jaipur,20931.0,First Owner,11.0,100.0,Hero
36000.0,Jaipur,19253.0,First Owner,6.0,100.0,Hero
33000.0,Jaipur,19340.0,First Owner,7.0,110.0,Hero
25000.0,Jaipur,19682.0,First Owner,10.0,100.0,Hero
25000.0,Jaipur,21300.0,First Owner,10.0,100.0,Hero
83000.0,Jaipur,14000.0,First Owner,3.0,150.0,Yamaha
25000.0,Jaipur,32000.0,First Owner,9.0,100.0,Hero
50000.0,Jaipur,27342.0,First Owner,5.0,150.0,Bajaj
47000.0,Jaipur,25876.0,First Owner,5.0,150.0,Bajaj
40000.0,Jaipur,48203.0,First Owner,5.0,150.0,Bajaj
24000.0,Jaipur,22654.0,First Owner,13.0,100.0,Hero
22000.0,Jaipur,20595.0,First Owner,12.0,100.0,Hero
32000.0,Jaipur,31000.0,First Owner,7.0,125.0,Honda
30000.0,Jaipur,20917.0,First Owner,9.0,100.0,Hero
31000.0,Jaipur,20135.0,First Owner,10.0,100.0,Hero
90000.0,Jaipur,18100.0,First Owner,4.0,250.0,Yamaha
39000.0,Jaipur,21534.0,First Owner,5.0,100.0,Hero
39000.0,Jaipur,23000.0,First Owner,6.0,100.0,Hero
39000.0,Jaipur,20000.0,First Owner,4.0,125.0,Hero
39000.0,Jaipur,21000.0,First Owner,7.0,125.0,Hero
22500.0,Jaipur,20632.0,First Owner,11.0,150.0,Yamaha
86000.0,Jaipur,12000.0,First Owner,3.0,180.0,TVS
78000.0,Jaipur,23918.0,First Owner,5.0,200.0,TVS
68000.0,Jaipur,11123.0,First Owner,5.0,160.0,TVS
22000.0,Jaipur,22000.0,First Owner,9.0,135.0,Bajaj
33000.0,Jaipur,12552.0,First Owner,8.0,125.0,Honda
33000.0,Jaipur,22317.0,First Owner,8.0,125.0,Honda
42000.0,Jaipur,30000.0,First Owner,5.0,100.0,Hero
40000.0,Jaipur,18000.0,First Owner,6.0,100.0,Hero
40000.0,Jaipur,14339.0,First Owner,5.0,100.0,Hero
121000.0,Jaipur,20000.0,First Owner,4.0,350.0,Royal Enfield
72700.0,Jaipur,14000.0,First Owner,5.0,220.0,Bajaj
25000.0,Jaipur,20322.0,First Owner,10.0,125.0,Honda
23000.0,Jaipur,28895.0,First Owner,8.0,100.0,TVS
16000.0,Jaipur,78370.0,First Owner,10.0,150.0,Hero
90000.0,Jaipur,15437.0,First Owner,7.0,350.0,Royal Enfield
350000.0,Jaipur,8600.0,First Owner,7.0,750.0,Harley-Davidson
56000.0,Jaipur,15131.0,First Owner,6.0,150.0,Honda
42000.0,Jaipur,58000.0,First Owner,5.0,220.0,Bajaj
53214.0,Jaipur,15492.0,First Owner,2.0,110.0,Honda
28000.0,Jaipur,23000.0,First Owner,10.0,110.0,Honda
38000.0,Jaipur,23497.0,First Owner,5.0,100.0,Hero
45000.0,Jaipur,20431.0,First Owner,7.0,160.0,TVS
36000.0,Jaipur,18988.0,First Owner,6.0,100.0,Hero
38500.0,Jaipur,22464.0,First Owner,5.0,100.0,Hero
59900.0,Jaipur,32000.0,First Owner,5.0,180.0,TVS
25000.0,Jaipur,24000.0,First Owner,11.0,100.0,Hero
27000.0,Jaipur,26000.0,First Owner,8.0,125.0,Honda
26000.0,Jaipur,18000.0,First Owner,7.0,125.0,Honda
35000.0,Jaipur,18227.0,First Owner,9.0,150.0,Yamaha
200000.0,Jaipur,11700.0,First Owner,4.0,390.0,KTM
175000.0,Jaipur,10880.0,First Owner,4.0,390.0,KTM
39000.0,Jaipur,52000.0,First Owner,6.0,125.0,Hero
25000.0,Jaipur,39000.0,First Owner,9.0,100.0,Hero
18200.0,Jaipur,45000.0,First Owner,12.0,150.0,Hero
25000.0,Jaipur,50000.0,First Owner,7.0,100.0,Hero
50000.0,Jaipur,1234.0,Second Owner,7.0,220.0,Bajaj
90000.0,Jaipur,14330.0,First Owner,3.0,350.0,Royal Enfield
67000.0,Jaipur,43871.0,First Owner,6.0,150.0,Honda
28000.0,Jaipur,25000.0,First Owner,7.0,150.0,Bajaj
56000.0,Jaipur,17330.0,First Owner,6.0,149.0,Hero
55000.0,Jaipur,27000.0,First Owner,8.0,200.0,Bajaj
42000.0,Jaipur,9000.0,First Owner,6.0,110.0,Hero
43000.0,Jaipur,10000.0,First Owner,4.0,100.0,Bajaj
30000.0,Jaipur,40457.0,First Owner,7.0,100.0,Hero
42000.0,Jaipur,33156.0,First Owner,5.0,150.0,Bajaj
30000.0,Jaipur,35600.0,First Owner,9.0,150.0,Yamaha
50100.0,Jaipur,36000.0,Second Owner,6.0,223.0,Hero
32400.0,Jaipur,32116.0,First Owner,8.0,150.0,Bajaj
20400.0,Jaipur,74000.0,First Owner,9.0,100.0,Bajaj
124000.0,Jaipur,16500.0,First Owner,4.0,250.0,Benelli
22000.0,Jaipur,28686.0,First Owner,9.0,125.0,Bajaj
22000.0,Jaipur,31000.0,First Owner,10.0,110.0,TVS
21000.0,Jaipur,43000.0,First Owner,9.0,125.0,Honda
31000.0,Jaipur,20000.0,First Owner,7.0,100.0,TVS
190000.0,Jaipur,7902.0,First Owner,2.0,200.0,KTM
25000.0,Jaipur,22620.0,First Owner,9.0,100.0,TVS
24000.0,Jaipur,20885.0,First Owner,14.0,180.0,TVS
27000.0,Jaipur,18240.0,First Owner,11.0,150.0,Hero
29000.0,Jaipur,20787.0,First Owner,9.0,100.0,Hero
35000.0,Jaipur,18020.0,First Owner,7.0,150.0,Bajaj
22000.0,Jaipur,65798.0,First Owner,10.0,125.0,Yamaha
135000.0,Jaipur,12507.0,First Owner,4.0,250.0,KTM
42000.0,Jaipur,21145.0,First Owner,4.0,100.0,Hero
32000.0,Jaipur,23000.0,First Owner,4.0,100.0,Bajaj
45000.0,Jaipur,18237.0,First Owner,7.0,150.0,Yamaha
44000.0,Jaipur,32000.0,First Owner,7.0,150.0,Yamaha
44000.0,Jaipur,18250.0,First Owner,7.0,150.0,Yamaha
44000.0,Jaipur,27000.0,First Owner,8.0,150.0,Yamaha
42000.0,Jaipur,25000.0,First Owner,6.0,150.0,Yamaha
37000.0,Jaipur,8687.0,First Owner,5.0,125.0,Honda
43000.0,Jaipur,20134.0,First Owner,6.0,150.0,Bajaj
26500.0,Jaipur,18345.0,First Owner,10.0,135.0,Bajaj
47000.0,Jaipur,20748.0,First Owner,4.0,100.0,Hero
45000.0,Jaipur,22000.0,First Owner,4.0,110.0,Hero
22000.0,Jaipur,22000.0,First Owner,9.0,125.0,Honda
25000.0,Jaipur,19296.0,First Owner,9.0,100.0,Hero
80000.0,Jaipur,12000.0,First Owner,3.0,150.0,Yamaha
34000.0,Jaipur,11536.0,First Owner,5.0,100.0,TVS
37000.0,Jaipur,19598.0,First Owner,6.0,100.0,Hero
36000.0,Jaipur,21172.0,First Owner,8.0,125.0,Honda
35500.0,Jaipur,17405.0,First Owner,7.0,125.0,Honda
34000.0,Jaipur,4474.0,First Owner,3.0,100.0,TVS
120000.0,Jaipur,2069.0,First Owner,7.0,350.0,Royal Enfield
40000.0,Jaipur,24056.0,First Owner,4.0,110.0,Honda
32000.0,Jaipur,18136.0,First Owner,9.0,150.0,Bajaj
39000.0,Jaipur,26885.0,First Owner,5.0,150.0,Bajaj
38000.0,Jaipur,22724.0,First Owner,7.0,150.0,Bajaj
34000.0,Jaipur,10841.0,First Owner,3.0,100.0,Bajaj
29000.0,Jaipur,18000.0,First Owner,7.0,110.0,Mahindra
28000.0,Jaipur,21336.0,First Owner,10.0,100.0,Hero
65000.0,Jaipur,19134.0,First Owner,6.0,220.0,Bajaj
55000.0,Jaipur,18000.0,First Owner,5.0,220.0,Bajaj
26000.0,Jaipur,20000.0,First Owner,9.0,100.0,Hero
24000.0,Jaipur,20509.0,First Owner,12.0,125.0,Honda
30000.0,Jaipur,21326.0,First Owner,7.0,100.0,Hero
30000.0,Jaipur,18251.0,First Owner,8.0,125.0,Hero
42000.0,Jaipur,23000.0,First Owner,3.0,100.0,Hero
40000.0,Jaipur,5000.0,First Owner,4.0,110.0,Hero
40000.0,Jaipur,20000.0,First Owner,5.0,100.0,Hero
25000.0,Jaipur,24614.0,First Owner,10.0,100.0,Bajaj
31000.0,Jaipur,20000.0,First Owner,8.0,150.0,Hero
58000.0,Jaipur,18583.0,First Owner,6.0,180.0,TVS
50000.0,Jaipur,9060.0,First Owner,7.0,150.0,Honda
35000.0,Jaipur,10975.0,First Owner,6.0,125.0,Honda
20000.0,Jaipur,25081.0,First Owner,10.0,150.0,Yamaha
42000.0,Jaipur,15833.0,First Owner,3.0,110.0,Honda
48000.0,Jaipur,23541.0,First Owner,6.0,150.0,Suzuki
38500.0,Jaipur,18000.0,First Owner,6.0,110.0,Hero
22000.0,Jaipur,21448.0,First Owner,8.0,100.0,Bajaj
175000.0,Jaipur,7000.0,First Owner,5.0,500.0,Royal Enfield
128000.0,Jaipur,15000.0,First Owner,4.0,200.0,KTM
19000.0,Jaipur,22700.0,First Owner,13.0,125.0,Honda
160000.0,Jaipur,14000.0,First Owner,4.0,500.0,Royal Enfield
23000.0,Jaipur,27020.0,First Owner,8.0,110.0,Hero
35000.0,Jaipur,25108.0,First Owner,11.0,150.0,Yamaha
135000.0,Jaipur,13500.0,First Owner,3.0,350.0,Royal Enfield
24500.0,Jaipur,40929.0,First Owner,5.0,100.0,Bajaj
30000.0,Jaipur,21062.0,First Owner,6.0,100.0,Hero
132000.0,Jaipur,3467.0,First Owner,6.0,350.0,Royal Enfield
62000.0,Jaipur,21734.0,First Owner,9.0,150.0,Yamaha
65000.0,Jaipur,14391.0,Second Owner,4.0,150.0,Yamaha
21000.0,Jaipur,55000.0,First Owner,8.0,125.0,Yamaha
70000.0,Jaipur,207102.0,First Owner,2.0,180.0,TVS
105000.0,Jaipur,1543.0,First Owner,5.0,350.0,Royal Enfield
55000.0,Jaipur,4779.0,First Owner,11.0,350.0,Royal Enfield
32000.0,Jaipur,22844.0,First Owner,8.0,100.0,Hero
38000.0,Jaipur,21822.0,First Owner,6.0,125.0,Honda
38000.0,Jaipur,20000.0,First Owner,6.0,100.0,Hero
29000.0,Jaipur,12653.0,First Owner,7.0,150.0,Hero
150000.0,Jaipur,12500.0,First Owner,4.0,250.0,KTM
65000.0,Jaipur,26454.0,First Owner,3.0,180.0,TVS
37500.0,Jaipur,20511.0,First Owner,5.0,100.0,Hero
478000.0,Jaipur,1234.0,First Owner,3.0,650.0,Kawasaki
31599.0,Jaipur,19111.0,First Owner,8.0,100.0,TVS
15600.0,Jaipur,84186.0,First Owner,16.0,125.0,Hero
18000.0,Jaipur,40266.0,First Owner,11.0,125.0,Honda
25000.0,Jaipur,10500.0,First Owner,9.0,125.0,Yamaha
70000.0,Jaipur,10000.0,First Owner,4.0,150.0,Bajaj
114000.0,Jaipur,38000.0,First Owner,7.0,350.0,Royal Enfield
128000.0,Jaipur,8500.0,First Owner,5.0,350.0,Royal Enfield
65000.0,Jaipur,12061.0,First Owner,4.0,180.0,TVS
100000.0,Jaipur,22600.0,First Owner,8.0,350.0,Royal Enfield
22000.0,Jaipur,35300.0,Second Owner,10.0,125.0,Honda
21000.0,Jaipur,46093.0,First Owner,9.0,100.0,Bajaj
90000.0,Jaipur,9902.0,First Owner,7.0,350.0,Royal Enfield
160000.0,Jaipur,8000.0,First Owner,5.0,500.0,Royal Enfield
16000.0,Jaipur,80981.0,First Owner,12.0,125.0,Honda
25500.0,Jaipur,37827.0,First Owner,6.0,110.0,Mahindra
120000.0,Jaipur,51791.0,First Owner,6.0,250.0,Hyosung
90000.0,Jaipur,34548.0,First Owner,7.0,350.0,Royal Enfield
19500.0,Jaipur,20493.0,First Owner,15.0,125.0,Hero
120000.0,Jaipur,32814.0,Second Owner,8.0,500.0,Royal Enfield
110000.0,Jaipur,25232.0,First Owner,5.0,200.0,Bajaj
51000.0,Jaipur,23000.0,Second Owner,6.0,160.0,TVS
65000.0,Jaipur,9870.0,First Owner,6.0,180.0,Bajaj
33500.0,Jaipur,40000.0,First Owner,9.0,150.0,Yamaha
32999.0,Jaipur,28000.0,First Owner,8.0,150.0,Bajaj
40000.0,Jaipur,11572.0,First Owner,6.0,110.0,Mahindra
53000.0,Jaipur,20000.0,First Owner,6.0,150.0,Bajaj
53000.0,Jaipur,23890.0,First Owner,7.0,150.0,Bajaj
14000.0,Jaipur,50000.0,Second Owner,19.0,100.0,Hero
22000.0,Jaipur,10000.0,First Owner,8.0,100.0,Bajaj
30000.0,Jaipur,53000.0,First Owner,10.0,100.0,Hero
35000.0,Jaipur,36283.0,First Owner,7.0,100.0,Hero
32000.0,Jaipur,17870.0,First Owner,7.0,110.0,TVS
41000.0,Jaipur,8000.0,First Owner,6.0,110.0,Mahindra
520000.0,Jaipur,399.0,First Owner,2.0,750.0,Harley-Davidson
90000.0,Jaipur,17000.0,First Owner,7.0,350.0,Royal Enfield
83800.0,Jaipur,21540.0,Second Owner,10.0,350.0,Royal Enfield
37000.0,Jaipur,8030.0,First Owner,4.0,110.0,Yamaha
